supplier_name,date,inv_reference,chq_reference,inv_ref_normalized,amount,inv_has_grn_match,chq_matches_voucher,chq_matches_invno,grn_match_count,grn_voucher,grn_supplier
KLERKSDORP RECORD,2024-07-08,1020290,44984,1020290,11040.0,True,False,False,1,INVI007441,KLERKSDORP RECORD
KLERKSDORP RECORD,2024-10-29,1020606,47997,1020606,6670.0,True,False,False,1,INVI007639,KLERKSDORP RECORD
KLERKSDORP RECORD,2024-12-10,1020826,49189,1020826,25208.0,True,False,False,1,INVI007756,KLERKSDORP RECORD
KLERKSDORP RECORD,2025-01-28,1021049,50696,1021049,9573.75,True,False,False,1,INVI007860,KLERKSDORP RECORD
KLERKSDORP RECORD,2025-02-05,1021109,51017,1021109,16675.0,True,False,False,1,INVI007894,KLERKSDORP RECORD
KLERKSDORP RECORD,2025-02-28,1021268,51551,1021268,26680.0,True,False,False,1,INVI007950,KLERKSDORP RECORD
KLERKSDORP RECORD,2025-04-04,1021430,52357,1021430,6670.0,True,False,False,1,INVI008034,KLERKSDORP RECORD
KLERKSDORP RECORD,2025-04-25,1021571,53540,1021571,28014.0,True,False,False,1,INVI008085,KLERKSDORP RECORD
BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,2022-08-15,1015036,28619,1015036,199000.0,True,False,False,1,INVI005291,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD
BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,2022-11-30,1015978,31294,1015978,29994.0,True,False,False,1,INVI005700,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD
BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,2023-03-23,1016906,33680,1016906,13934.18,True,False,False,1,INVI006059,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD
BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,2023-09-02,1018168,37752,1018168,57678.87,True,False,False,1,INVI006537,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD
BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,2023-09-29,1018326,38469,1018326,306600.0,True,False,False,2,INVI006610,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD
BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,2023-10-13,1018419,38615,1018419,57747.4,True,False,False,1,INVI006643,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD
BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,2023-11-07,1018584,39142,1018584,20997.77,True,False,False,1,INVI006735,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD
