source_file,page_number,supplier_code,supplier_name,transaction_date,transaction_type,reference,amount,additional_info,document_type,report_period,file_type,report_period_start,report_period_end,original_report_period,reference_normalized
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-17,INV,0001016366,1443.25,210526,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016366
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-17,INV,0001016367,6350.25,214432,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016367
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-17,INV,0001016368,1960.08,214437,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016368
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-17,INV,0001016369,2915.11,214481,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016369
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016511,1661.75,211816,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016511
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016512,1100.04,211818,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016512
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016513,1100.04,211820,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016513
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016514,1940.07,212409,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016514
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016515,2450.1,212451,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016515
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016516,3300.13,212467,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016516
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016517,1995.08,212474,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016517
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016518,8460.33,212484,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016518
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016519,10500.42,212557,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016519
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016520,18400.74,212559,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016520
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016522,2200.09,212655,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016522
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016523,1790.07,212693,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016523
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016524,1650.07,212699,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016524
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016525,1800.07,212893,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016525
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016526,5830.24,213005,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016526
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016527,3105.11,213007,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016527
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016528,4090.16,213041,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016528
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016529,575.0,213042,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016529
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016530,790.04,213053,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016530
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016531,410.01,213055,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016531
