item_code,supplier_name,item_description,source_type,request_count,total_quantity,avg_quantity,first_request,last_request
138270,CHELLES HOLDINGS (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,CONCOUR TRADING ENTERPRISE (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,DAYIMANI HOLDINGS (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,60.0,60.0,,
138270,DIRABOTLE PROJECTS (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,157.0,157.0,,
138270,DTTM TRADING AND PROJECTS (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,2.0,2.0,,
138270,ELECTRICIVIL TRADING (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,FANISWA TRADING AND ENTERPRISE (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,70.0,70.0,,
138270,FOUR MY GIRLS TRADING ENTERPRISE,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,ACTOM  PROTECTION AND CONTROL,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
137753,GAMES & PC SOUND CC,hp 655 cyan cartr,GRN,1,2.0,2.0,,
138270,RAPIDUS 325 ENTERPRISE,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
137752,GAMES & PC SOUND CC,hp 655 black cart,GRN,1,2.0,2.0,,
131123,LPM BUSINESS ENTERPRISE (PTY) LTD,HP 203 TONER CARTRIDGE-MAGENTA,GRN,1,3.0,3.0,,
131174,ARNOLD & WESSELS CC,LETTERHEADS -full colour,GRN,1,15000.0,15000.0,,
131393,KLERKSDORP SPARES CENTRE,EVAPORATOR COIL,GRN,1,2.0,2.0,,
131619,BATHO BOTLHE,CLEAN,GRN,1,1.0,1.0,,
131619,SERVICES FOR WATER AND SANITATION,CLEAN,GRN,1,1.0,1.0,,
131694,BOKGABANE AFRICA PROJECTS,USB HEADSEAT SINGLE TRENDY,GRN,1,5.0,5.0,,
131945,RELEBOGELA BOTSHELO TRADING ENTERPRISE,START UP,GRN,1,1.0,1.0,,
132246,REABETSWE BOPHELO TRADING ENTERPRISE,WINDOW,GRN,1,2.0,2.0,,
132246,ZAMNTE CONSTRUCTION,WINDOW,GRN,1,24.0,24.0,,
132466,BOKAO AMAHLE HOLDINGS (PTY) LTD,bend,GRN,1,150.0,150.0,,
132833,GMHM CONSTRUCTIONS & PROJECT 47,PARAFFIN,GRN,1,8248.0,8248.0,,
133522,@ OFFICE WORLD,TONER,GRN,1,1.0,1.0,,
133522,RONMAR OFFICE EQUIPMENT,TONER,GRN,1,2.0,2.0,,
134127,K P DEVELOPMENTS (PTY) LTD,SUPPLY,GRN,1,1.0,1.0,,
134315,SE-SIFIKILE CONSTRUCTION & PROJECTS,VERIFICATION OF MATRIC CERTIFI,GRN,1,1.0,1.0,,
135288,KIWANGO INFRASTRUCTURE AND DEVELOPMENTS (PTY) LTD,estabishment of team,GRN,1,1.0,1.0,,
136631,K.J STATIONERS,POST IT PADS 38X50 PAS,GRN,1,20.0,20.0,,
136659,ELLATON MINING SUPPLIES & SIGNS (PTY) LTD,CAMERA,GRN,1,1.0,1.0,,
137335,NGHILAZI ENG JV MELTRONICS TECHNOLOGY,SUPPLY,GRN,1,5500.0,5500.0,,
138270,GAME STORES,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,GAMES & PC SOUND CC,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,GEORGE'S PNP CATERING AND PROJECTS (PTY)LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,GIFTX BUSINESS ENTERPRISE (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,MARTHAMASTER ENTERPRISE (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,MASSTORES PTY LTD T/A GAME STORES,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,MATEBESI IMPROVEMENT SOLUTIONS,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,MCRAPT TRADING ENTERPRISE (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,MOTSOL TRADING ENTERPRISE,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,MULATO INVESTMENT,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,MW PPE SUPPLIERS (PTY ) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,MWASSIE (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,NAMISA HOLDINGS PTY LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,NL SUPPLIERS AND PROJECTS,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,NOKHAYA SECURITY SOLUTIONS (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,4.0,4.0,,
138270,OLEORA SUPPLY AND PROJECTS (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,15000.0,15000.0,,
138270,ORENDO (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,OSEGOFADITSWE TRADING ENTERPRISE (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,OUTMOST PROJECTS (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,P MOSIMANE TRADING ENTERPRISE,SUPPLY AND DELIVERY,GRN,1,100.0,100.0,,
138270,PHONDO LENDLOVUKAZI PTY LTD,SUPPLY AND DELIVERY,GRN,1,15.0,15.0,,
138270,PT JABULANE ENTERPRISE,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,RAPHOTO' S CONSTRUCTION AND CATERING CC,SUPPLY AND DELIVERY,GRN,1,50.0,50.0,,
138270,MAMBA NC HOLDINGS (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,6.0,6.0,,
138270,MALATSI A TSHEPO TRADING AND PROJECTS,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,MAKOTSI TRADING,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,KEAMO WA TSHIAMO,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,GLANLICIOUS TRADING ENTERPRISE,SUPPLY AND DELIVERY,GRN,1,500.0,500.0,,
138270,GMPUMELA PROJECTS,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,GWES GROUP (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,HA MAT OME AND SONS TRADING ANS PROJECTS,SUPPLY AND DELIVERY,GRN,1,100.0,100.0,,
138270,IYEZEE_OF MUCH CONSTRUCTION,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,K-BIZO HOLDINGS (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,KATEMO TRADING ENTERPRISE,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
